ME403|Introduction to Robotics|7|4
ME405|Mechanical Vibrations
ME408|Mechatronics System Design
ME409|Foundations of Microsystems|7|3
ME415|Computational Analysis and Simulation
ME420|Renewable and Sustainable Energy Systems
ME425|Autonomous Mobile Robotics|7|4
MGMT201|Introduction to Management
MGMT203|Introduction to Data Analysis and Research in Business
MGMT213|Disaster Awareness & Relief Management|4|2
MGMT301|Introduction to Sustainability
MGMT302|Sustainability Assessment Methods and Tools
MGMT309|NGO Management and Impact: Organizational Design, Positioning, and Sustainable Futures
MGMT310|Humanitarian Management and Sustainability: Civil Society, Crisis, and the Economies of Aid
MGMT333|Business Ethics and Social Sustainability
MGMT401|Business Strategy
MGMT402|Entrepreneurship
MGMT403|International Business
MGMT404|Technology Management
MGMT405|Turkish Managerial Context
MGMT410|Corporate Governance and Social Responsibility
MGMT411|Agile Project Management
MGMT412|Social Innovation and Entrepreneurship
MGMT413|Strategic Innovation
MGMT414|Negotiation Skills
MGMT415|Entrepreneurial Technology Commercialization
MGMT417|Strategy Execution
MGMT418|Fundamentals of Family Business
MGMT419|Succession & Transfer of Power in Family Business
MGMT421|Technology Awareness and Implications of Technology Trends to Business Life and Processes
MGMT423|Entrepreneurial Finance
MGMT424|Leadership of Sustainability
MGMT425|Art Business and Entrepreneurship
MGMT426|Strategic Management of AI and Emerging Technologies
MGMT491|Career and Professional Development Course|2|1
MGMT492|Learning Through Action Project
MGMT495|Entrepreneurial Skills Workshop I|2|1
MGMT496|Entrepreneurial Skills Workshop II|2|1
MGMT499|Independent Study
MKTG301|Introduction to Marketing
MKTG401|Marketing Research
MKTG402|Consumer Behavior
MKTG404|Digital Marketing
MKTG405|Marketing Strategy
MKTG406|Brand Management
MKTG407|Sales Management
MKTG409|Pricing in Marketing
MKTG410|Social Media Marketing
MKTG411|Advertising and Promotion
MKTG412|Marketing Channel Management and Retailing
MKTG413|AI for Consumers and Society
MKTG414|Marketing Analytics
NS200|Einstein's Relativity|5|3
NS201|Discovering Life
NS206|What is There in the Universe: Inside the Milky Way?|5|3
NS207|Organic Chemistry|7|4
NS208|General Biotechnology|5|3
NS209|What is there in the Universe: "Beyond the Milky Way"|5|3
NS216|Life on Earth
OPIM301|Operations Management
OPIM302|Management Information Systems
OPIM390|Introduction to Business Analytics
OPIM401|Supply Chain Management
OPIM402|Optimization Modeling in Business Analytics
OPIM404|Business Process Analysis and Design
OPIM407|Advanced Business Analytics
OPIM408|Retail Operations and Analytics
OPIM409|Project Management
OPIM410|Decision Making Under Uncertainty
OPIM412|Strategic Procurement
OPIM413|AI in Business
ORG301|Organizations and Organizing
ORG302|Organizational Behavior
ORG401|Human Resources Management
ORG403|Cross-Cultural Management
ORG404|Creativity & Leading Innovations
ORG405|Human Resources Analytics
PHIL202|Problems of Philosophy
PHIL300|Philosophy of Science
PHIL301|Philosophy of Social Sciences
PHIL310|Philosophy of Mind
PHIL321|Symbolic Logic
PHIL322|Philosophy of Art
PHIL370|Philosophy of Artificial Intelligence
PHIL399|Independent Study
PHIL401|Epistemology
PHIL450|Science and Society
PHIL460|Environmental Ethics and Sustainability
PHYS211|Modern Physics
PHYS484|Quantum Computation and Quantum Information
POLS250|Comparative Politics
POLS251|Borders, Citizens, Immigrants, Refugees
POLS301|Political Theory I
POLS302|Issues and Concepts in Political Philosophy
POLS303|Elections And Political Participation
POLS305|Political Ideologies in Modern Türkiye
POLS307|Politics of Development
POLS351|Dynamics of Political Change
POLS352|Turkish Politics I
POLS353|Turkish Politics II
POLS354|Politics of Migration
POLS364|Constitutional Law
POLS365|Law and Politics
POLS366|Special Topics in Political Science and International Relations
POLS392|Modern Dictatorships and the One-Party Period Political System in Türkiye
POLS393|Political Parties in Türkiye
POLS399|Independent Study
POLS400|Ancient, Medieval and Early Political Theory
POLS403|Political Psychology
POLS404|Comparative Party Systems and Electoral Behavior
POLS405|Political Thought: Issues, Concepts, Debates
POLS408|Religion and Politics in the Muslim World
POLS421|Modernity: Concept, Perspectives, and Issues
POLS422|Politics and Culture
POLS434|Formal Modelling and Political Analysis I
POLS446|Latin American Politics
POLS448|Conflicts in the Middle East
POLS455|Rise and Fall of Democracy
POLS457|The Politics of Authoritarian Regimes
POLS473|Political Theory II
POLS483|Ethnicity and Nationalism
POLS491|European Politics
POLS492|European Union: Politics, Policies and Governance
POLS493|Comparative Local Government
POLS495|Middle Eastern Politics and Government
PROJ301|Guided Project I|2|1
PROJ401|Guided Project II|4|2
PSIR311|Research Methods for Political Science and International Relations I|7|3
PSIR401|Research Methods for Political Science and International Relations II
PSY201|Mind and Behavior
PSY202|Research Methods and Statistics for Psychology I|7|3
PSY203|Stress and Well-Being
PSY303|Making of Modern Psychology
PSY304|Research Methods and Statistics for Psychology II
PSY305|Experimental Psychology
PSY306|Testing and Measurement
PSY310|Cognitive Processes|7|3
PSY311|Emotion
PSY312|Sensation / Perception
PSY314|Language
PSY315|Memory
PSY316|Attention
PSY317|Learning
PSY320|Developmental Psychology|7|3
PSY322|Lifespan Psychological Science
PSY323|Human Bonding
PSY325|Infant Development
PSY340|Social Psychology|7|3
PSY341|Applied Social Psychology
PSY343|Relationship Science
PSY344|Group Processes
PSY350|Introduction to Neuroscience|7|3
PSY360|Abnormal Behavior
PSY361|Personality
PSY362|Clinical Applications of Psychology
PSY363|Individual Differences
PSY364|Clinical Interviewing
PSY366|Child and Adolescent Psychopathology
PSY368|Adolescent Development and Mental Health
PSY398|Independent Study I
PSY399|Independent Study II
PSY403|Advanced Research in Psychology
PSY407|EEG Methods and Analyses
PSY410|Advanced Topics in Social and Cognitive Psychology
PSY411|Cognition, Emotion and Psychopathology
PSY412|Visual Cognition
PSY414|Selected topics in Language and Communication
PSY415|Seminar in Memory and Attention
PSY416|Culture and Cognition
PSY418|Topics in Episodic Memory and Future Thinking
PSY421|Cognitive Development
PSY422|Social Development
PSY424|Language Development in Infancy and Childhood
PSY442|Social Cognition
PSY443|Psychology of the Self
PSY444|Intergroup Relationships
PSY445|Selected Topics in Social Psychology
PSY450|Selected Topics in Neuroscience
PSY452|Cognitive Neuroscience
PSY467|Clinical Insights from Basic Psychological Science
PSY469|Foundations of Infant Mental Heath
PSY480|Psychology in the Public Interest
PSY481|Selected Topics in Applied Psychology
SOC201|Social Theory
SOC301|Political Sociology
SOC399|Independent Study in Sociology
SOC408|Religion and Politics
SOC420|Infrastructure and Mobilities
SOC425|Power, Economy, and Society
SOC432|Sexualities, Sociabilities
SPS201|Fundamentals of Scientific Inquiry and Statistical Reasoning for Social Sciences
SPS374|Global Environmental Challenges
SPS384|Climate Change and Environmental Politics
SPS394|Political Ecology and Society
SPS404|Global Challenges: A Historical Perspective
TS320|Digital Humanities
VA201|Visual Language I|7|4
VA202|Visual Language II|7|4
VA203|Language of Drawing I|7|4
VA204|Language of Drawing II|7|3
VA234|Design with Typography|7|3
VA267|Integrated Industrial Design & Innovation Studio
VA301|Art Studio I|7|3
VA302|Art Studio II|7|3
VA303|Design Studio I|7|3
VA304|Design Studio II|7|3
